Id,class,Label
miR-141-3p,miRNA,miR-141-3p
miR-155-5p,miRNA,miR-155-5p
miR-143-3p,miRNA,miR-143-3p
miR-153-3p,miRNA,miR-153-3p
miR-132-3p,miRNA,miR-132-3p
miR-375-3p,miRNA,miR-375-3p
miR-24-3p,miRNA,miR-24-3p
miR-17-5p,miRNA,miR-17-5p
miR-25-3p,miRNA,miR-25-3p
miR-182-5p,miRNA,miR-182-5p
miR-223-3p,miRNA,miR-223-3p
miR-128-3p,miRNA,miR-128-3p
miR-139-5p,miRNA,miR-139-5p
miR-183-5p,miRNA,miR-183-5p
miR-101a-3p,miRNA,miR-101a-3p
let-7-5p,miRNA,let-7-5p
miR-15-5p,miRNA,miR-15-5p
miR-27-3p,miRNA,miR-27-3p
miR-181-5p,miRNA,miR-181-5p
miR-21-5p,miRNA,miR-21-5p
miR-26-5p,miRNA,miR-26-5p
miR-101-3p,miRNA,miR-101-3p
miR-7-5p,miRNA,miR-7-5p
miR-34-5p,miRNA,miR-34-5p
miR-219-5p,miRNA,miR-219-5p
miR-125-5p,miRNA,miR-125-5p
miR-200b-3p,miRNA,miR-200b-3p
NONMMUG012821.3,lnc-gene,012821.3
NONMMUG053867.1,lnc-gene,053867.1
NONMMUG045662.3,lnc-gene,045662.3
NONMMUG029868.3,lnc-gene,029868.3
NONMMUG004888.2,lnc-gene,004888.2
NONMMUG008648.2,lnc-gene,008648.2
NONMMUG031025.2,lnc-gene,031025.2
NONMMUG032544.2,lnc-gene,032544.2
NONMMUG032550.2,lnc-gene,032550.2
NONMMUG015818.3,lnc-gene,015818.3
NONMMUG063564.2,lnc-gene,063564.2
NONMMUG021081.2,lnc-gene,021081.2
NONMMUG085369.1,lnc-gene,085369.1
NONMMUG094550.1,lnc-gene,094550.1
NONMMUG042692.3,lnc-gene,042692.3
NONMMUG038314.3,lnc-gene,038314.3
NONMMUG021079.2,lnc-gene,021079.2
NONMMUG024854.2,lnc-gene,024854.2
NONMMUG050342.2,lnc-gene,050342.2
NONMMUG026522.2,lnc-gene,026522.2
NONMMUG030273.3,lnc-gene,030273.3
NONMMUG033250.2,lnc-gene,033250.2
NONMMUG035509.2,lnc-gene,035509.2
NONMMUG045553.2,lnc-gene,045553.2
NONMMUG001802.2,lnc-gene,001802.2
NONMMUG057409.1,lnc-gene,057409.1
NONMMUG057419.1,lnc-gene,057419.1
NONMMUG015144.3,lnc-gene,015144.3
NONMMUG018032.2,lnc-gene,018032.2
NONMMUG024632.3,lnc-gene,024632.3
NONMMUG035402.2,lnc-gene,035402.2
NONMMUG038184.3,lnc-gene,038184.3
NONMMUG035335.3,lnc-gene,035335.3
NONMMUG086368.2,lnc-gene,086368.2
NONMMUG019950.2,lnc-gene,019950.2
NONMMUG005677.3,lnc-gene,005677.3
NONMMUG018615.2,lnc-gene,018615.2
NONMMUG004084.2,lnc-gene,004084.2
NONMMUG010287.2,lnc-gene,010287.2
NONMMUG038049.2,lnc-gene,038049.2
NONMMUG081423.1,lnc-gene,081423.1
NONMMUG015569.3,lnc-gene,015569.3
ENSMUSG00000095332,lnc-gene,00000095332
NONMMUG029262.3,lnc-gene,029262.3
NONMMUG035013.2,lnc-gene,035013.2
NONMMUG011676.2,lnc-gene,011676.2
NONMMUG037564.2,lnc-gene,037564.2
NONMMUG019995.2,lnc-gene,019995.2
NONMMUG039853.3,lnc-gene,039853.3
NONMMUG009325.3,lnc-gene,009325.3
NONMMUG021614.2,lnc-gene,021614.2
